Call Id,Date,Agent,Department,Answered (Y/N),Resolved,Speed of Answer,AvgTalkDuration,Satisfaction rating,Column1
ID1771,31/01/2016 17:34,Jim,Fridge,Y,Y,91,0:02:59,3,#ERROR!
ID1772,31/01/2016 17:34,Greg,Air Conditioner,Y,Y,121,0:06:01,2,#ERROR!
ID1769,31/01/2016 17:08,Dan,Fridge,N,N,,,,#ERROR!
ID1770,31/01/2016 17:08,Diane,Toaster,Y,Y,78,0:01:03,4,#ERROR!
ID1767,31/01/2016 16:56,Becky,Washing Machine,Y,Y,58,0:04:42,5,#ERROR!
ID1768,31/01/2016 16:56,Dan,Television,N,N,,,,#ERROR!
ID1765,31/01/2016 16:20,Greg,Television,Y,Y,95,0:05:01,3,#ERROR!
ID1766,31/01/2016 16:20,Becky,Washing Machine,Y,Y,49,0:01:58,3,#ERROR!
ID1761,31/01/2016 16:09,Stewart,Washing Machine,Y,Y,103,0:06:14,4,#ERROR!
ID1762,31/01/2016 16:09,Becky,Washing Machine,Y,Y,81,0:03:26,2,#ERROR!
ID1763,31/01/2016 16:09,Stewart,Television,Y,Y,48,0:03:57,5,#ERROR!
ID1764,31/01/2016 16:09,Dan,Television,Y,Y,92,0:06:01,3,#ERROR!
ID1759,31/01/2016 15:56,Jim,Fridge,Y,Y,50,0:00:31,2,#ERROR!
ID1760,31/01/2016 15:56,Martha,Fridge,N,N,,,,#ERROR!
ID1757,31/01/2016 15:38,Jim,Television,N,N,,,,#ERROR!
ID1758,31/01/2016 15:38,Dan,Washing Machine,Y,Y,20,0:01:19,4,#ERROR!
ID1755,31/01/2016 15:04,Dan,Air Conditioner,Y,Y,24,0:04:51,1,#ERROR!
ID1756,31/01/2016 15:04,Diane,Television,Y,Y,92,0:02:28,3,#ERROR!
ID1753,31/01/2016 15:01,Diane,Air Conditioner,Y,Y,113,0:02:32,1,#ERROR!
ID1754,31/01/2016 15:01,Diane,Television,Y,Y,93,0:02:19,4,#ERROR!
ID1751,31/01/2016 14:44,Joe,Toaster,Y,Y,37,0:05:46,4,#ERROR!
ID1752,31/01/2016 14:44,Martha,Television,Y,Y,36,0:01:26,3,#ERROR!
ID1745,31/01/2016 14:05,Jim,Toaster,Y,Y,124,0:06:42,5,#ERROR!
